StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 23:28,7/9/14 23:30,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,"$25,000 - $49,999",High school degree,East South Central
7/9/14 23:26,7/9/14 23:26,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 23:24,7/9/14 23:25,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
7/9/14 23:24,7/9/14 23:25,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),n/a,Male,18-29,,,Mountain
7/9/14 23:20,7/9/14 23:22,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired Military,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 23:18,7/9/14 23:19,In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
7/9/14 23:14,7/9/14 23:19,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 23:17,7/9/14 23:18,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 23:17,7/9/14 23:17,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 23:16,7/9/14 23:18,Married,1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 23:15,7/9/14 23:18,Married,11-15 years,A few times per month,Separate bedroom,,Separate bedroom,,,,,,,,,,One of us needs to sleep with a child,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
